code,description
S06.324D,"""Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.324S,"""Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.325D,"""Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.325S,"""Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.326D,"""Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.326S,"""Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.32AD,"""Contusion and laceration of left cerebrum with loss of consciousness status unknown, subsequent encounter"""
S06.32AS,"""Contusion and laceration of left cerebrum with loss of consciousness status unknown, sequela"""
S06.329D,"""Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration, subsequent encounter"""
S06.329S,"""Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration, sequela"""
S06.330D,"""Contusion and laceration of cerebrum, unspecified, without loss of consciousness, subsequent encounter"""
S06.330S,"""Contusion and laceration of cerebrum, unspecified, without loss of consciousness, sequela"""
S06.331D,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.331S,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, sequela"""
S06.332D,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.332S,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.333D,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"""
S06.333S,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"""
S06.334D,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.334S,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.335D,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.335S,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.336D,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.336S,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.33AD,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, subsequent encounter"""
S06.33AS,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, sequela"""
S06.339D,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, subsequent encounter"""
S06.339S,"""Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, sequela"""
S06.340D,"""Traumatic hemorrhage of right cerebrum without loss of consciousness, subsequent encounter"""
S06.340S,"""Traumatic hemorrhage of right cerebrum without loss of consciousness, sequela"""
S06.341D,"""Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.341S,"""Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less, sequela"""
S06.342D,"""Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.342S,"""Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.343D,"""Traumatic hemorrhage of right cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, subsequent encounter"""
S06.343S,"""Traumatic hemorrhage of right cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, sequela"""
S06.344D,"""Traumatic hemorrhage of right cerebrum with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.344S,"""Traumatic hemorrhage of right cerebrum with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.345D,"""Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.345S,"""Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.346D,"""Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.346S,"""Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.34AD,"""Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown, subsequent encounter"""
S06.34AS,"""Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown, sequela"""
S06.349D,"""Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration, subsequent encounter"""
S06.349S,"""Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration, sequela"""
S06.350D,"""Traumatic hemorrhage of left cerebrum without loss of consciousness, subsequent encounter"""
S06.350S,"""Traumatic hemorrhage of left cerebrum without loss of consciousness, sequela"""
S06.351D,"""Traumatic hemorrhage of left cerebrum with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.351S,"""Traumatic hemorrhage of left cerebrum with loss of consciousness of 30 minutes or less, sequela"""
S06.352D,"""Traumatic hemorrhage of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.352S,"""Traumatic hemorrhage of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.353D,"""Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, subsequent encounter"""
S06.353S,"""Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, sequela"""
S06.354D,"""Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.354S,"""Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.355D,"""Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.355S,"""Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.356D,"""Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.356S,"""Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.35AD,"""Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown, subsequent encounter"""
S06.35AS,"""Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown, sequela"""
S06.359D,"""Traumatic hemorrhage of left cerebrum with loss of consciousness of unspecified duration, subsequent encounter"""
S06.359S,"""Traumatic hemorrhage of left cerebrum with loss of consciousness of unspecified duration, sequela"""
S06.360D,"""Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness, subsequent encounter"""
S06.360S,"""Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness, sequela"""
S06.361D,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.361S,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, sequela"""
S06.362D,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.362S,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.363D,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 1 hours to 5 hours 59 minutes, subsequent encounter"""
S06.363S,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 1 hours to 5 hours 59 minutes, sequela"""
S06.364D,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.364S,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.365D,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.365S,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.366D,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.366S,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.36AD,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown, subsequent encounter"""
S06.36AS,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown, sequela"""
S06.369D,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration, subsequent encounter"""
S06.369S,"""Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration, sequela"""
S06.370D,"""Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness, subsequent encounter"""
S06.370S,"""Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness, sequela"""
S06.371D,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.371S,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 30 minutes or less, sequela"""
S06.372D,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.372S,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.373D,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"""
S06.373S,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"""
S06.374D,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.374S,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.375D,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.375S,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.376D,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.376S,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.37AD,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown, subsequent encounter"""
S06.37AS,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown, sequela"""
S06.379D,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of unspecified duration, subsequent encounter"""
S06.379S,"""Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of unspecified duration, sequela"""
S06.380D,"""Contusion, laceration, and hemorrhage of brainstem without loss of consciousness, subsequent encounter"""
S06.380S,"""Contusion, laceration, and hemorrhage of brainstem without loss of consciousness, sequela"""
S06.381D,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.381S,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less, sequela"""
S06.382D,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.382S,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.383D,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"""
S06.383S,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"""
S06.384D,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.384S,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.385D,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.385S,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.386D,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.386S,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.38AD,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown, subsequent encounter"""
S06.38AS,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown, sequela"""
S06.389D,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of unspecified duration, subsequent encounter"""
S06.389S,"""Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of unspecified duration, sequela"""
S06.4X0D,"""Epidural hemorrhage without loss of consciousness, subsequent encounter"""
S06.4X0S,"""Epidural hemorrhage without loss of consciousness, sequela"""
S06.4X1D,"""Epidural hemorrhage with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.4X1S,"""Epidural hemorrhage with loss of consciousness of 30 minutes or less, sequela"""
S06.4X2D,"""Epidural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.4X2S,"""Epidural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.4X3D,"""Epidural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"""
S06.4X3S,"""Epidural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"""
S06.4X4D,"""Epidural hemorrhage with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.4X4S,"""Epidural hemorrhage with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.4X5D,"""Epidural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.4X5S,"""Epidural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.4X6D,"""Epidural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.4X6S,"""Epidural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.4XAD,"""Epidural hemorrhage with loss of consciousness status unknown, subsequent encounter"""
S06.4XAS,"""Epidural hemorrhage with loss of consciousness status unknown, sequela"""
S06.4X9D,"""Epidural hemorrhage with loss of consciousness of unspecified duration, subsequent encounter"""
S06.4X9S,"""Epidural hemorrhage with loss of consciousness of unspecified duration, sequela"""
S06.5X0D,"""Traumatic subdural hemorrhage without loss of consciousness, subsequent encounter"""
S06.5X0S,"""Traumatic subdural hemorrhage without loss of consciousness, sequela"""
S06.5X1D,"""Traumatic subdural hemorrhage with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.5X1S,"""Traumatic subdural hemorrhage with loss of consciousness of 30 minutes or less, sequela"""
S06.5X2D,"""Traumatic subdural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.5X2S,"""Traumatic subdural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.5X3D,"""Traumatic subdural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"""
S06.5X3S,"""Traumatic subdural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"""
S06.5X4D,"""Traumatic subdural hemorrhage with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.5X4S,"""Traumatic subdural hemorrhage with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.5X5D,"""Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.5X5S,"""Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.5X6D,"""Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.5X6S,"""Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.5XAD,"""Traumatic subdural hemorrhage with loss of consciousness status unknown, subsequent encounter"""
S06.5XAS,"""Traumatic subdural hemorrhage with loss of consciousness status unknown, sequela"""
S06.5X9D,"""Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, subsequent encounter"""
S06.5X9S,"""Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, sequela"""
S06.6X0D,"""Traumatic subarachnoid hemorrhage without loss of consciousness, subsequent encounter"""
S06.6X0S,"""Traumatic subarachnoid hemorrhage without loss of consciousness, sequela"""
S06.6X1D,"""Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.6X1S,"""Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less, sequela"""
S06.6X2D,"""Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.6X2S,"""Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.6X3D,"""Traumatic subarachnoid hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"""
S06.6X3S,"""Traumatic subarachnoid hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"""
S06.6X4D,"""Traumatic subarachnoid hemorrhage with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.6X4S,"""Traumatic subarachnoid hemorrhage with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.6X5D,"""Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.6X5S,"""Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.6X6D,"""Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.6X6S,"""Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.6XAD,"""Traumatic subarachnoid hemorrhage with loss of consciousness status unknown, subsequent encounter"""
S06.6XAS,"""Traumatic subarachnoid hemorrhage with loss of consciousness status unknown, sequela"""
S06.6X9D,"""Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration, subsequent encounter"""
S06.6X9S,"""Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration, sequela"""
S06.810D,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, subsequent encounter"""
S06.810S,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, sequela"""
S06.811D,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.811S,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less, sequela"""
S06.812D,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.812S,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.813D,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"""
S06.813S,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"""
S06.814D,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.814S,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.815D,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.815S,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.816D,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.816S,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.81AD,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, subsequent encounter"""
S06.81AS,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, sequela"""
S06.819D,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, subsequent encounter"""
S06.819S,"""Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, sequela"""
S06.820D,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, subsequent encounter"""
S06.820S,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, sequela"""
S06.821D,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.821S,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less, sequela"""
S06.822D,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.822S,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.823D,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"""
S06.823S,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"""
S06.824D,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.824S,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.825D,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.825S,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.826D,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.826S,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.82AD,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, subsequent encounter"""
S06.82AS,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, sequela"""
S06.829D,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, subsequent encounter"""
S06.829S,"""Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, sequela"""
S06.8A0D,"""Primary blast injury of brain, not elsewhere classified without loss of consciousness, subsequent encounter"""
S06.8A0S,"""Primary blast injury of brain, not elsewhere classified without loss of consciousness, sequela"""
S06.8A1D,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.8A1S,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness of 30 minutes or less, sequela"""
S06.8A2D,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.8A2S,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.8A3D,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"""
S06.8A3S,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"""
S06.8A4D,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.8A4S,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.8A5D,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.8A5S,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.8A6D,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.8A6S,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.8AAD,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness status unknown, subsequent encounter"""
S06.8AAS,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness status unknown, sequela"""
S06.8A9D,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness of unspecified duration, subsequent encounter"""
S06.8A9S,"""Primary blast injury of brain, not elsewhere classified with loss of consciousness of unspecified duration, sequela"""
S06.890D,"""Other specified intracranial injury without loss of consciousness, subsequent encounter"""
S06.890S,"""Other specified intracranial injury without loss of consciousness, sequela"""
S06.891D,"""Other specified intracranial injury with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.891S,"""Other specified intracranial injury with loss of consciousness of 30 minutes or less, sequela"""
S06.892D,"""Other specified intracranial injury with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.892S,"""Other specified intracranial injury with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.893D,"""Other specified intracranial injury with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"""
S06.893S,"""Other specified intracranial injury with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"""
S06.894D,"""Other specified intracranial injury with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.894S,"""Other specified intracranial injury with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.895D,"""Other specified intracranial injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.895S,"""Other specified intracranial injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.896D,"""Other specified intracranial injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.896S,"""Other specified intracranial injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.89AD,"""Other specified intracranial injury with loss of consciousness status unknown, subsequent encounter"""
S06.89AS,"""Other specified intracranial injury with loss of consciousness status unknown, sequela"""
S06.899D,"""Other specified intracranial injury with loss of consciousness of unspecified duration, subsequent encounter"""
S06.899S,"""Other specified intracranial injury with loss of consciousness of unspecified duration, sequela"""
S06.9X0D,"""Unspecified intracranial injury without loss of consciousness, subsequent encounter"""
S06.9X0S,"""Unspecified intracranial injury without loss of consciousness, sequela"""
